Table 4,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States1,,,, , , , , ,,,,,,,,,,,,,,,
"by Region, Geographic Division, and State, 2018–2019",,,,,, , ,,,,,,,,,,,,,,,,
Area,Year,Population2,Violent crime3,,"Murder and 
nonnegligent 
manslaughter",,"Rape
(revised definition)4",,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,,,
     Pennsylvania,2018,"12,800,922","39,099",305.4,784,6.1,"4,490",35.1,"9,854",77,"23,971",187.3,"190,633","1,489.20","27,054",211.3,"150,441","1,175.20","13,138",102.6,,,
,2019,"12,801,989","39,228",306.4,669,5.2,"4,351",34,"9,743",76.1,"24,465",191.1,"179,665","1,403.40","23,354",182.4,"143,921","1,124.20","12,390",96.8,,,
,Percent change,,0.3,0.3,-14.7,-14.7,-3.1,-3.1,-1.1,-1.1,2.1,2.1,-5.8,-5.8,-13.7,-13.7,-4.3,-4.3,-5.7,-5.7,,,
Midwest5,2018,"68,236,628","249,802",366.1,"3,618",5.3,"35,194",51.6,"50,404",73.9,"160,586",235.3,"1,389,261","2,035.90","240,009",351.7,"1,016,958","1,490.30","132,294",193.9,,,
,2019,"68,329,004","247,162",361.7,"3,414",5,"34,057",49.8,"46,412",67.9,"163,279",239,"1,322,428","1,935.40","215,395",315.2,"977,491","1,430.60","129,542",189.6,,,
,Percent change,,-1.1,-1.2,-5.6,-5.8,-3.2,-3.4,-7.9,-8,1.7,1.5,-4.8,-4.9,-10.3,-10.4,-3.9,-4,-2.1,-2.2,,,
East North Central,2018,"46,886,387","174,319",371.8,"2,646",5.6,"24,678",52.6,"38,727",82.6,"108,268",230.9,"908,899","1,938.50","160,681",342.7,"667,067","1,422.70","81,151",173.1,,,
,2019,"46,902,431","171,552",365.8,"2,478",5.3,"23,780",50.7,"34,982",74.6,"110,312",235.2,"850,937","1,814.30","141,361",301.4,"633,277","1,350.20","76,299",162.7,,,
,Percent change, ,-1.6,-1.6,-6.3,-6.4,-3.6,-3.7,-9.7,-9.7,1.9,1.9,-6.4,-6.4,-12,-12.1,-5.1,-5.1,-6,-6,,,
     Illinois,2018,"12,723,071","52,343",411.4,902,7.1,"6,106",48,"14,251",112,"31,084",244.3,"246,679","1,938.80","39,317",309,"187,517","1,473.80","19,845",156,,,
,2019,"12,671,821","51,561",406.9,832,6.6,"6,078",48,"12,464",98.4,"32,187",254,"233,984","1,846.50","34,433",271.7,"180,776","1,426.60","18,775",148.2,,,
,Percent change,,-1.5,-1.1,-7.8,-7.4,-0.5,-0.1,-12.5,-12.2,3.5,4,-5.1,-4.8,-12.4,-12.1,-3.6,-3.2,-5.4,-5,,,
     Indiana,2018,"6,695,497","25,009",373.5,418,6.2,"2,486",37.1,"5,737",85.7,"16,368",244.5,"146,948","2,194.70","25,894",386.7,"105,861","1,581.10","15,193",226.9,,,
,2019,"6,732,219","24,966",370.8,377,5.6,"2,475",36.8,"5,331",79.2,"16,783",249.3,"132,694","1,971.00","21,795",323.7,"97,176","1,443.40","13,723",203.8,,,
,Percent change,,-0.2,-0.7,-9.8,-10.3,-0.4,-1,-7.1,-7.6,2.5,2,-9.7,-10.2,-15.8,-16.3,-8.2,-8.7,-9.7,-10.2,,,
     Michigan,2018,"9,984,072","45,176",452.5,555,5.6,"7,901",79.1,"5,638",56.5,"31,082",311.3,"166,186","1,664.50","31,834",318.8,"116,876","1,170.60","17,476",175,,,
,2019,"9,986,857","43,686",437.4,556,5.6,"7,235",72.4,"5,350",53.6,"30,545",305.9,"158,296","1,585.00","28,572",286.1,"111,980","1,121.30","17,744",177.7,,,
,Percent change,,-3.3,-3.3,0.2,0.2,-8.4,-8.5,-5.1,-5.1,-1.7,-1.8,-4.7,-4.8,-10.2,-10.3,-4.2,-4.2,1.5,1.5,,,
     Ohio,2018,"11,676,341","34,426",294.8,596,5.1,"5,852",50.1,"9,608",82.3,"18,370",157.3,"257,848","2,208.30","49,456",423.6,"188,433","1,613.80","19,959",170.9,,,
,2019,"11,689,100","34,269",293.2,538,4.6,"5,731",49,"8,846",75.7,"19,154",163.9,"240,291","2,055.70","43,894",375.5,"177,725","1,520.40","18,672",159.7,,,
,Percent change,,-0.5,-0.6,-9.7,-9.8,-2.1,-2.2,-7.9,-8,4.3,4.2,-6.8,-6.9,-11.2,-11.3,-5.7,-5.8,-6.4,-6.6,,,
     Wisconsin,2018,"5,807,406","17,365",299,175,3,"2,333",40.2,"3,493",60.1,"11,364",195.7,"91,238","1,571.10","14,180",244.2,"68,380","1,177.50","8,678",149.4,,,
,2019,"5,822,434","17,070",293.2,175,3,"2,261",38.8,"2,991",51.4,"11,643",200,"85,672","1,471.40","12,667",217.6,"65,620","1,127.00","7,385",126.8,,,
,Percent change,,-1.7,-2,0,-0.3,-3.1,-3.3,-14.4,-14.6,2.5,2.2,-6.1,-6.3,-10.7,-10.9,-4,-4.3,-14.9,-15.1,,,
West North Central5,2018,"21,350,241","75,483",353.5,972,4.6,"10,516",49.3,"11,677",54.7,"52,318",245,"480,362","2,249.90","79,328",371.6,"349,891","1,638.80","51,143",239.5,,,
,2019,"21,426,573","75,610",352.9,936,4.4,"10,277",48,"11,430",53.3,"52,967",247.2,"471,491","2,200.50","74,034",345.5,"344,214","1,606.50","53,243",248.5,,,
,Percent change,  ,0.2,-0.2,-3.7,-4,-2.3,-2.6,-2.1,-2.5,1.2,0.9,-1.8,-2.2,-6.7,-7,-1.6,-2,4.1,3.7,,,
     Iowa5,2018,"3,148,618","8,303",263.7,70,2.2,"1,126",35.8,989,31.4,"6,118",194.3,"57,024","1,811.10","12,433",394.9,"39,498","1,254.50","5,093",161.8,,,
,2019,"3,155,070","8,410",266.6,60,1.9,"1,164",36.9,863,27.4,"6,323",200.4,"54,699","1,733.70","11,710",371.1,"37,847","1,199.60","5,142",163,,,
,Percent change,,1.3,1.1,-14.3,-14.5,3.4,3.2,-12.7,-12.9,3.4,3.1,-4.1,-4.3,-5.8,-6,-4.2,-4.4,1,0.8,,,
     Kansas,2018,"2,911,359","12,861",441.8,122,4.2,"1,664",57.2,"1,420",48.8,"9,655",331.6,"77,449","2,660.20","12,792",439.4,"56,726","1,948.40","7,931",272.4,,,
,2019,"2,913,314","11,968",410.8,105,3.6,"1,416",48.6,"1,293",44.4,"9,154",314.2,"67,428","2,314.50","9,984",342.7,"50,165","1,721.90","7,279",249.9,,,
,Percent change,,-6.9,-7,-13.9,-14,-14.9,-15,-8.9,-9,-5.2,-5.3,-12.9,-13,-22,-22,-11.6,-11.6,-8.2,-8.3,,,
     Minnesota,2018,"5,606,249","12,403",221.2,107,1.9,"2,475",44.1,"2,946",52.5,"6,875",122.6,"112,186","2,001.10","16,206",289.1,"85,849","1,531.30","10,131",180.7,,,
,2019,"5,639,632","13,332",236.4,117,2.1,"2,448",43.4,"3,149",55.8,"7,618",135.1,"117,236","2,078.80","15,927",282.4,"90,092","1,597.50","11,217",198.9,,,
,Percent change,,7.5,6.9,9.3,8.7,-1.1,-1.7,6.9,6.3,10.8,10.2,4.5,3.9,-1.7,-2.3,4.9,4.3,10.7,10.1,,,
     Missouri,2018,"6,121,623","30,696",501.4,599,9.8,"2,935",47.9,"5,206",85,"21,956",358.7,"162,698","2,657.80","27,345",446.7,"115,506","1,886.90","19,847",324.2,,,
,2019,"6,137,428","30,380",495,568,9.3,"2,917",47.5,"4,959",80.8,"21,936",357.4,"161,946","2,638.70","26,414",430.4,"114,460","1,865.00","21,072",343.3,,,
,Percent change,,-1,-1.3,-5.2,-5.4,-0.6,-0.9,-4.7,-5,-0.1,-0.3,-0.5,-0.7,-3.4,-3.7,-0.9,-1.2,6.2,5.9,,,
     Nebraska,2018,"1,925,614","5,583",289.9,44,2.3,"1,290",67,736,38.2,"3,513",182.4,"40,193","2,087.30","5,308",275.7,"29,987","1,557.30","4,898",254.4,,,
,2019,"1,934,408","5,821",300.9,45,2.3,"1,253",64.8,792,40.9,"3,731",192.9,"39,449","2,039.30","4,745",245.3,"29,719","1,536.30","4,985",257.7,,,
,Percent change, ,4.3,3.8,2.3,1.8,-2.9,-3.3,7.6,7.1,6.2,5.7,-1.9,-2.3,-10.6,-11,-0.9,-1.3,1.8,1.3,,,
     North Dakota,2018,"758,080","2,154",284.1,18,2.4,409,54,158,20.8,"1,569",207,"15,621","2,060.60","2,742",361.7,"11,088","1,462.60","1,791",236.3,,,
,2019,"762,062","2,169",284.6,24,3.1,437,57.3,179,23.5,"1,529",200.6,"15,066","1,977.00","2,608",342.2,"10,666","1,399.60","1,792",235.2,,,
,Percent change,,0.7,0.2,33.3,32.6,6.8,6.3,13.3,12.7,-2.5,-3.1,-3.6,-4.1,-4.9,-5.4,-3.8,-4.3,0.1,-0.5,,,
     South Dakota,2018,"878,698","3,483",396.4,12,1.4,617,70.2,222,25.3,"2,632",299.5,"15,191","1,728.80","2,502",284.7,"11,237","1,278.80","1,452",165.2,,,
,2019,"884,659","3,530",399,17,1.9,642,72.6,195,22,"2,676",302.5,"15,667","1,771.00","2,646",299.1,"11,265","1,273.40","1,756",198.5,,,
,Percent change,,1.3,0.7,41.7,40.7,4.1,3.4,-12.2,-12.8,1.7,1,3.1,2.4,5.8,5,0.2,-0.4,20.9,20.1,,,
"South 6, 7",2018,"124,569,433","507,232",407.2,"7,581",6.1,"52,571",42.2,"106,258",85.3,"340,822",273.6,"3,040,614","2,440.90","547,925",439.9,"2,213,649","1,777.00","279,040",224,,,
,2019,"125,580,448","510,565",406.6,"8,002",6.4,"52,119",41.5,"102,570",81.7,"347,874",277,"2,957,758","2,355.30","501,817",399.6,"2,175,494","1,732.40","280,447",223.3,,,
,Percent change, ,0.7,-0.2,5.6,4.7,-0.9,-1.7,-3.5,-4.2,2.1,1.2,-2.7,-3.5,-8.4,-9.2,-1.7,-2.5,0.5,-0.3,,,
"South Atlantic6, 7",2018,"65,229,624","242,214",371.3,"3,929",6,"23,082",35.4,"53,483",82,"161,720",247.9,"1,510,368","2,315.50","251,583",385.7,"1,131,644","1,734.90","127,141",194.9,,,
,2019,"65,784,817","245,159",372.7,"4,132",6.3,"23,223",35.3,"51,679",78.6,"166,125",252.5,"1,450,962","2,205.60","226,274",344,"1,100,944","1,673.60","123,744",188.1,,,
,Percent change,,1.2,0.4,5.2,4.3,0.6,-0.2,-3.4,-4.2,2.7,1.9,-3.9,-4.7,-10.1,-10.8,-2.7,-3.5,-2.7,-3.5,,,
     Delaware,2018,"965,479","4,079",422.5,46,4.8,334,34.6,861,89.2,"2,838",293.9,"22,405","2,320.60","3,154",326.7,"17,780","1,841.60","1,471",152.4,,,
,2019,"973,764","4,115",422.6,48,4.9,310,31.8,790,81.1,"2,967",304.7,"21,931","2,252.20","2,968",304.8,"17,359","1,782.70","1,604",164.7,,,
,Percent change,,0.9,*,4.3,3.5,-7.2,-8,-8.2,-9,4.5,3.7,-2.1,-2.9,-5.9,-6.7,-2.4,-3.2,9,8.1,,,
     District of Columbia6,2018,"701,547","6,995",997.1,160,22.8,450,64.1,"2,415",344.2,"3,970",565.9,"30,726","4,379.70","1,788",254.9,"26,345","3,755.30","2,593",369.6,,,
,2019,"705,749","7,403","1,049.00",166,23.5,345,48.9,"2,713",384.4,"4,179",592.1,"30,821","4,367.10","1,843",261.1,"26,645","3,775.40","2,333",330.6,,,
,Percent change,,5.8,5.2,3.8,3.1,-23.3,-23.8,12.3,11.7,5.3,4.6,0.3,-0.3,3.1,2.5,1.1,0.5,-10,-10.6,,,
     Florida,2018,"21,244,317","81,980",385.9,"1,107",5.2,"8,438",39.7,"16,884",79.5,"55,551",261.5,"486,017","2,287.80","71,933",338.6,"372,919","1,755.40","41,165",193.8,,,
,2019,"21,477,737","81,270",378.4,"1,122",5.2,"8,456",39.4,"16,217",75.5,"55,475",258.3,"460,846","2,145.70","63,396",295.2,"358,402","1,668.70","39,048",181.8,,,
,Percent change,,-0.9,-1.9,1.4,0.3,0.2,-0.9,-4,-5,-0.1,-1.2,-5.2,-6.2,-11.9,-12.8,-3.9,-4.9,-5.1,-6.2,,,
     Georgia,2018,"10,511,131","35,619",338.9,647,6.2,"2,798",26.6,"8,499",80.9,"23,675",225.2,"277,803","2,642.90","46,816",445.4,"205,631","1,956.30","25,356",241.2,,,
,2019,"10,617,423","36,170",340.7,654,6.2,"2,922",27.5,"7,961",75,"24,633",232,"252,249","2,375.80","39,506",372.1,"188,967","1,779.80","23,776",223.9,,,
,Percent change, ,1.5,0.5,1.1,0.1,4.4,3.4,-6.3,-7.3,4,3,-9.2,-10.1,-15.6,-16.5,-8.1,-9,-6.2,-7.2,,,
     Maryland,2018,"6,035,802","28,330",469.4,491,8.1,"1,991",33,"9,716",161,"16,132",267.3,"122,945","2,036.90","18,910",313.3,"91,887","1,522.40","12,148",201.3,,,
,2019,"6,045,680","27,456",454.1,542,9,"1,913",31.6,"9,203",152.2,"15,798",261.3,"117,901","1,950.20","16,862",278.9,"89,780","1,485.00","11,259",186.2,,,
,Percent change,,-3.1,-3.2,10.4,10.2,-3.9,-4.1,-5.3,-5.4,-2.1,-2.2,-4.1,-4.3,-10.8,-11,-2.3,-2.5,-7.3,-7.5,,,
     North Carolina7,2018,"10,381,615","36,980",356.2,574,5.5,"2,633",25.4,"7,573",72.9,"26,200",252.4,"243,323","2,343.80","57,450",553.4,"169,376","1,631.50","16,497",158.9,,,
,2019,"10,488,084","38,995",371.8,632,6,"3,247",31,"7,599",72.5,"27,517",262.4,"247,236","2,357.30","54,447",519.1,"174,728","1,666.00","18,061",172.2,,,
,Percent change,,5.4,4.4,10.1,9,23.3,22.1,0.3,-0.7,5,4,1.6,0.6,-5.2,-6.2,3.2,2.1,9.5,8.4,,,
     South Carolina,2018,"5,084,156","25,463",500.8,411,8.1,"2,650",52.1,"3,592",70.7,"18,810",370,"156,330","3,074.80","29,957",589.2,"111,427","2,191.70","14,946",294,,,
,2019,"5,148,714","26,323",511.3,464,9,"2,460",47.8,"3,294",64,"20,105",390.5,"151,389","2,940.30","27,461",533.4,"108,953","2,116.10","14,975",290.8,,,
,Percent change,,3.4,2.1,12.9,11.5,-7.2,-8.3,-8.3,-9.4,6.9,5.5,-3.2,-4.4,-8.3,-9.5,-2.2,-3.4,0.2,-1.1,,,
     Virginia,2018,"8,501,286","17,357",204.2,417,4.9,"3,072",36.1,"3,610",42.5,"10,258",120.7,"142,931","1,681.30","15,659",184.2,"116,496","1,370.30","10,776",126.8,,,
,2019,"8,535,519","17,753",208,426,5,"2,816",33,"3,524",41.3,"10,987",128.7,"140,213","1,642.70","13,900",162.8,"116,044","1,359.50","10,269",120.3,,,
,Percent change,,2.3,1.9,2.2,1.7,-8.3,-8.7,-2.4,-2.8,7.1,6.7,-1.9,-2.3,-11.2,-11.6,-0.4,-0.8,-4.7,-5.1,,,
     West Virginia,2018,"1,804,291","5,411",299.9,76,4.2,716,39.7,333,18.5,"4,286",237.5,"27,888","1,545.60","5,916",327.9,"19,783","1,096.40","2,189",121.3,,,
,2019,"1,792,147","5,674",316.6,78,4.4,754,42.1,378,21.1,"4,464",249.1,"28,376","1,583.40","5,891",328.7,"20,066","1,119.70","2,419",135,,,
,Percent change,,4.9,5.6,2.6,3.3,5.3,6,13.5,14.3,4.2,4.9,1.7,2.4,-0.4,0.3,1.4,2.1,10.5,11.3,,,
East South Central,2018,"19,101,485","85,902",449.7,"1,355",7.1,"7,514",39.3,"15,438",80.8,"61,595",322.5,"492,535","2,578.50","100,456",525.9,"342,552","1,793.30","49,527",259.3,,,
,2019,"19,176,181","83,666",436.3,"1,409",7.3,"7,200",37.5,"13,952",72.8,"61,105",318.7,"467,762","2,439.30","90,051",469.6,"330,011","1,720.90","47,700",248.7,,,
,Percent change,,-2.6,-3,4,3.6,-4.2,-4.6,-9.6,-10,-0.8,-1.2,-5,-5.4,-10.4,-10.7,-3.7,-4,-3.7,-4.1,,,
     Alabama,2018,"4,887,681","25,567",523.1,383,7.8,"2,032",41.6,"4,047",82.8,"19,105",390.9,"138,702","2,837.80","29,101",595.4,"96,328","1,970.80","13,273",271.6,,,
,2019,"4,903,185","25,046",510.8,358,7.3,"2,068",42.2,"3,941",80.4,"18,679",381,"131,133","2,674.40","26,079",531.9,"92,477","1,886.10","12,577",256.5,,,
,Percent change,,-2,-2.3,-6.5,-6.8,1.8,1.4,-2.6,-2.9,-2.2,-2.5,-5.5,-5.8,-10.4,-10.7,-4,-4.3,-5.2,-5.5,,,
     Kentucky,2018,"4,461,153","9,719",217.9,250,5.6,"1,875",42,"2,469",55.3,"5,125",114.9,"89,235","2,000.30","17,462",391.4,"61,313","1,374.40","10,460",234.5, ,,
,2019,"4,467,673","9,701",217.1,221,4.9,"1,572",35.2,"2,161",48.4,"5,747",128.6,"84,769","1,897.40","15,443",345.7,"59,130","1,323.50","10,196",228.2,,,
,Percent change,,-0.2,-0.3,-11.6,-11.7,-16.2,-16.3,-12.5,-12.6,12.1,12,-5,-5.1,-11.6,-11.7,-3.6,-3.7,-2.5,-2.7,,,
     Mississippi,2018,"2,981,020","7,929",266,214,7.2,596,20,"1,700",57,"5,419",181.8,"71,701","2,405.30","20,355",682.8,"46,201","1,549.80","5,145",172.6,,,
,2019,"2,976,149","8,272",277.9,332,11.2,747,25.1,"1,700",57.1,"5,493",184.6,"70,707","2,375.80","18,660",627,"46,300","1,555.70","5,747",193.1,,,
,Percent change,,4.3,4.5,55.1,55.4,25.3,25.5,0,0.2,1.4,1.5,-1.4,-1.2,-8.3,-8.2,0.2,0.4,11.7,11.9,,,
     Tennessee,2018,"6,771,631","42,687",630.4,508,7.5,"3,011",44.5,"7,222",106.7,"31,946",471.8,"192,897","2,848.60","33,538",495.3,"138,710","2,048.40","20,649",304.9,,,
,2019,"6,829,174","40,647",595.2,498,7.3,"2,813",41.2,"6,150",90.1,"31,186",456.7,"181,153","2,652.60","29,869",437.4,"132,104","1,934.40","19,180",280.9,,,
,Percent change,,-4.8,-5.6,-2,-2.8,-6.6,-7.4,-14.8,-15.6,-2.4,-3.2,-6.1,-6.9,-10.9,-11.7,-4.8,-5.6,-7.1,-7.9,,,
West South Central,2018,"40,238,324","179,116",445.1,"2,297",5.7,"21,975",54.6,"37,337",92.8,"117,507",292,"1,037,711","2,578.90","195,886",486.8,"739,453","1,837.70","102,372",254.4,,,
,2019,"40,619,450","181,740",447.4,"2,461",6.1,"21,696",53.4,"36,939",90.9,"120,644",297,"1,039,034","2,558.00","185,492",456.7,"744,539","1,833.00","109,003",268.4,,,
,Percent change,,1.5,0.5,7.1,6.1,-1.3,-2.2,-1.1,-2,2.7,1.7,0.1,-0.8,-5.3,-6.2,0.7,-0.3,6.5,5.5,,,
     Arkansas,2018,"3,009,733","16,904",561.6,222,7.4,"2,341",77.8,"1,593",52.9,"12,748",423.6,"89,177","2,963.00","19,520",648.6,"62,350","2,071.60","7,307",242.8,,,
,2019,"3,017,804","17,643",584.6,242,8,"2,331",77.2,"1,557",51.6,"13,513",447.8,"86,250","2,858.00","18,095",599.6,"60,735","2,012.60","7,420",245.9,,,
,Percent change,,4.4,4.1,9,8.7,-0.4,-0.7,-2.3,-2.5,6,5.7,-3.3,-3.5,-7.3,-7.5,-2.6,-2.9,1.5,1.3,,,
     Louisiana,2018,"4,659,690","25,314",543.3,533,11.4,"2,105",45.2,"4,600",98.7,"18,076",387.9,"152,996","3,283.40","31,291",671.5,"110,066","2,362.10","11,639",249.8,,,
,2019,"4,648,794","25,537",549.3,544,11.7,"2,273",48.9,"4,025",86.6,"18,695",402.1,"146,993","3,162.00","26,918",579,"109,359","2,352.40","10,716",230.5,,,
,Percent change,,0.9,1.1,2.1,2.3,8,8.2,-12.5,-12.3,3.4,3.7,-3.9,-3.7,-14,-13.8,-0.6,-0.4,-7.9,-7.7,,,
     Oklahoma,2018,"3,940,235","18,701",474.6,215,5.5,"2,431",61.7,"2,805",71.2,"13,250",336.3,"114,395","2,903.30","27,178",689.8,"73,799","1,873.00","13,418",340.5,,,
,2019,"3,956,971","17,086",431.8,266,6.7,"2,268",57.3,"2,369",59.9,"12,183",307.9,"112,587","2,845.30","26,577",671.7,"72,632","1,835.50","13,378",338.1,,,
,Percent change,,-8.6,-9,23.7,23.2,-6.7,-7.1,-15.5,-15.9,-8.1,-8.4,-1.6,-2,-2.2,-2.6,-1.6,-2,-0.3,-0.7,,,
     Texas,2018,"28,628,666","118,197",412.9,"1,327",4.6,"15,098",52.7,"28,339",99,"73,433",256.5,"681,143","2,379.20","117,897",411.8,"493,238","1,722.90","70,008",244.5,,,
